key_pair,comfort_score,distance_score,time_score,dvorak7_score,dvorak7_repetition,dvorak7_movement,dvorak7_vertical,dvorak7_horizontal,dvorak7_adjacent,dvorak7_weak,dvorak7_outward,comfort_score_normalized,distance_score_normalized,time_score_normalized,dvorak7_score_normalized,dvorak7_repetition_normalized,dvorak7_movement_normalized,dvorak7_vertical_normalized,dvorak7_horizontal_normalized,dvorak7_adjacent_normalized,dvorak7_weak_normalized,dvorak7_outward_normalized
;A,-0.337438,0.0,552.0,0.857143,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.79994,0.0,0.279895,0.909091,1.0,1.0,1.0,1.0,1.0,0.0,1.0
;B,-0.586998,34.669872,595.6,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.556282,0.373546,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
;C,-0.544293,21.470911,552.0,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.650169,0.344503,0.279895,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
;D,-0.271775,0.0,558.3,0.928571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.847484,0.0,0.293427,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
;E,-0.339469,19.646883,494.6,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.79847,0.315236,0.156602,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
;F,-0.199284,0.0,627.95,0.928571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.89997,0.0,0.443033,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
;G,-0.586998,19.0,615.0,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.304857,0.415217,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
;H,-1.108432,19.0,615.0,0.714286,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.241707,0.304857,0.415217,0.727273,0.5,0.707107,1.0,0.5,1.0,0.5,1.0
;I,-0.756339,19.646883,494.6,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.496638,0.315236,0.156602,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
;J,-0.337438,0.0,627.95,0.857143,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.79994,0.0,0.443033,0.909091,0.5,1.0,1.0,1.0,1.0,0.5,1.0
;K,-0.380555,0.0,558.3,0.857143,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.768722,0.0,0.293427,0.909091,0.5,1.0,1.0,1.0,1.0,0.5,1.0
;L,-0.405374,0.0,530.95,0.642857,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.750752,0.0,0.23468,0.636364,0.5,1.0,1.0,1.0,0.0,0.0,1.0
;M,-0.725767,21.470911,612.0,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.518773,0.344503,0.408773,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
;N,-1.108432,21.023796,540.0,0.642857,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.241707,0.337329,0.254119,0.636364,0.5,0.707107,0.5,0.5,1.0,0.5,1.0
;O,-0.839825,19.646883,576.1,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.43619,0.315236,0.331661,0.454545,0.5,0.707107,0.5,1.0,0.0,0.0,1.0
;P,-1.108432,19.646883,581.5,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.241707,0.315236,0.34326,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
;Q,-0.527183,19.646883,658.6,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.662557,0.315236,0.508868,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
;R,-0.339469,19.646883,530.5,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.79847,0.315236,0.233714,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
;S,-0.305538,0.0,530.95,0.857143,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.823037,0.0,0.23468,0.909091,1.0,1.0,1.0,1.0,1.0,0.0,1.0
;T,-0.586998,23.600847,543.0,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.378678,0.260563,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
;U,-0.63598,19.646883,530.5,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.583783,0.315236,0.233714,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
;V,-0.436359,21.470911,612.0,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.728318,0.344503,0.408773,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
;W,-0.440255,19.646883,576.1,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.725496,0.315236,0.331661,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
;X,-0.578609,21.470911,636.2,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.625322,0.344503,0.460753,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
;Y,-1.108432,30.610456,577.0,0.642857,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.241707,0.491148,0.333594,0.636364,0.5,0.707107,0.5,0.5,1.0,0.5,1.0
;Z,-0.553769,21.470911,618.25,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.643307,0.344503,0.422197,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
;[,-1.108432,23.600847,581.5,0.214286,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.241707,0.378678,0.34326,0.090909,0.0,0.707107,0.5,0.5,0.0,0.0,0.0
A',-0.586998,19.0,552.0,0.714286,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.619248,0.304857,0.279895,0.727273,1.0,0.707107,1.0,0.5,1.0,0.0,1.0
"A,",-0.544293,21.470911,549.05,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.650169,0.344503,0.273558,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
A.,-0.578609,21.470911,636.2,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.625322,0.344503,0.460753,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
A/,-0.553769,21.470911,618.25,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.643307,0.344503,0.422197,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
A;,-0.337438,0.0,552.0,0.857143,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.79994,0.0,0.279895,0.909091,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AA,-0.486375,0.0,552.0,0.428571,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.692103,0.0,0.279895,0.363636,0.0,1.0,1.0,1.0,0.0,0.0,0.0
AB,-1.108432,34.669872,669.474141,0.642857,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.241707,0.556282,0.532225,0.636364,0.5,0.707107,0.5,0.5,1.0,0.5,1.0
AC,-0.881421,21.470911,552.0,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.406073,0.344503,0.279895,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
AD,-0.380555,0.0,558.3,0.857143,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.768722,0.0,0.293427,0.909091,0.5,1.0,1.0,1.0,1.0,0.5,1.0
AE,-0.756339,19.646883,494.6,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.496638,0.315236,0.156602,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
AF,-0.337438,0.0,627.95,0.857143,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.79994,0.0,0.443033,0.909091,0.5,1.0,1.0,1.0,1.0,0.5,1.0
AG,-1.108432,19.0,568.55,0.714286,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.241707,0.304857,0.315444,0.727273,0.5,0.707107,1.0,0.5,1.0,0.5,1.0
AH,-0.586998,19.0,615.0,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.304857,0.415217,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
AI,-0.339469,19.646883,481.43052,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.79847,0.315236,0.128314,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
AJ,-0.199284,0.0,547.45,0.928571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.89997,0.0,0.270122,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
AK,-0.271775,0.0,532.25,0.928571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.847484,0.0,0.237472,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
AL,-0.305538,0.0,548.393948,0.857143,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.823037,0.0,0.272149,0.909091,1.0,1.0,1.0,1.0,1.0,0.0,1.0
AM,-0.436359,21.470911,612.0,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.728318,0.344503,0.408773,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
AN,-0.586998,21.023796,458.329902,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.337329,0.078695,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
AO,-0.440255,19.646883,576.1,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.725496,0.315236,0.331661,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
AP,-0.527183,19.646883,552.0,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.662557,0.315236,0.279895,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
AQ,-1.108432,19.646883,581.5,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.241707,0.315236,0.34326,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
AR,-0.63598,19.646883,555.57202,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.583783,0.315236,0.287567,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
AS,-0.405374,0.0,530.95,0.642857,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.750752,0.0,0.23468,0.636364,0.5,1.0,1.0,1.0,0.0,0.0,1.0
AT,-1.108432,23.600847,612.406235,0.642857,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.241707,0.378678,0.409645,0.636364,0.5,0.707107,0.5,0.5,1.0,0.5,1.0
AU,-0.339469,19.646883,530.3,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.79847,0.315236,0.233284,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
AV,-0.725767,21.470911,562.624979,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.518773,0.344503,0.302717,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
AW,-0.839825,19.646883,495.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.43619,0.315236,0.157461,0.454545,0.5,0.707107,0.5,1.0,0.0,0.0,1.0
AX,-0.955016,21.470911,596.4173,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.352787,0.344503,0.375302,0.454545,0.5,0.707107,0.5,1.0,0.0,0.0,1.0
AY,-0.586998,30.610456,552.117684,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.491148,0.280148,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
AZ,-1.083828,21.470911,552.0,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.259521,0.344503,0.279895,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
A[,-0.586998,23.600847,581.5,0.714286,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.619248,0.378678,0.34326,0.727273,1.0,0.707107,1.0,0.5,1.0,0.0,1.0
B',-0.836557,53.669872,534.1,0.642857,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.438556,0.861139,0.241446,0.636364,1.0,0.0,1.0,0.0,1.0,0.5,1.0
"B,",-0.793852,56.140782,534.1,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.900785,0.241446,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
B.,-0.828168,56.140782,534.1,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.44463,0.900785,0.241446,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
B/,-0.803329,56.140782,534.1,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.462615,0.900785,0.241446,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
B;,-0.586998,34.669872,534.1,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.619248,0.556282,0.241446,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
BA,-1.108615,34.669872,529.713572,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.241574,0.556282,0.232024,0.454545,0.5,0.707107,0.5,0.5,1.0,0.5,0.0
BB,-1.442261,34.669872,575.006034,0.285714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.556282,0.329311,0.181818,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BC,-1.309704,56.140782,608.536411,0.571429,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.095977,0.900785,0.401333,0.545455,0.5,0.0,1.0,0.5,1.0,1.0,0.0
BD,-0.953484,34.669872,724.134803,0.571429,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.353896,0.556282,0.649634,0.545455,0.5,0.707107,0.5,0.5,1.0,1.0,0.0
BE,-1.25098,54.316754,563.746033,0.428571,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.138496,0.871518,0.305125,0.363636,0.5,0.0,0.0,0.5,1.0,1.0,0.0
BF,-0.836557,69.339743,620.293431,0.357143,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.438556,1.0,0.426587,0.272727,0.0,0.707107,0.5,0.5,0.0,1.0,0.0
BG,-1.442261,56.140782,733.82302,0.214286,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.900785,0.670444,0.090909,0.0,0.0,0.5,0.0,0.0,1.0,0.0
BH,-0.836557,53.669872,518.786805,0.714286,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.438556,0.861139,0.208554,0.727273,1.0,0.0,1.0,0.0,1.0,1.0,1.0
BI,-0.589028,54.316754,566.66767,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.617778,0.871518,0.3114,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
BJ,-0.448844,34.669872,581.684507,0.857143,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.719278,0.556282,0.343656,0.909091,1.0,0.707107,1.0,0.5,1.0,1.0,1.0
BK,-0.521334,34.669872,610.901621,0.857143,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.666792,0.556282,0.406413,0.909091,1.0,0.707107,1.0,0.5,1.0,1.0,1.0
BL,-0.555098,34.669872,537.029496,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.642345,0.556282,0.247739,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
BM,-0.685918,56.140782,534.1,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.547626,0.900785,0.241446,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
BN,-0.836557,55.693668,537.546774,0.714286,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.438556,0.893611,0.24885,0.727273,1.0,0.0,1.0,0.0,1.0,1.0,1.0
BO,-0.689815,54.316754,573.817488,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.544804,0.871518,0.326758,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
BP,-0.776742,54.316754,690.218167,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.481865,0.871518,0.576783,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
BQ,-1.442261,54.316754,706.583621,0.357143,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.871518,0.611935,0.272727,0.5,0.0,0.0,0.5,1.0,0.5,0.0
BR,-1.242302,85.660067,484.163915,0.214286,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.144779,1.0,0.134185,0.090909,0.0,0.0,0.0,0.5,0.0,1.0,0.0
BS,-1.030731,34.669872,635.375245,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.297966,0.556282,0.458982,0.454545,0.5,0.707107,0.5,0.5,1.0,0.5,0.0
BT,-1.442261,75.523268,695.573581,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.588286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BU,-0.589028,54.316754,514.038497,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.617778,0.871518,0.198355,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
BV,-1.095099,53.669872,617.759259,0.357143,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.251361,0.861139,0.421143,0.272727,0.0,0.0,1.0,0.5,0.0,1.0,0.0
BW,-1.306993,54.316754,538.931133,0.357143,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.09794,0.871518,0.251823,0.272727,0.5,0.0,0.0,0.5,1.0,0.5,0.0
BX,-1.363758,56.140782,704.794032,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.056839,0.900785,0.608091,0.454545,0.5,0.0,1.0,0.5,1.0,0.5,0.0
BY,-0.836557,65.280327,565.500169,0.714286,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.438556,1.0,0.308893,0.727273,1.0,0.0,1.0,0.0,1.0,1.0,1.0
BZ,-1.428568,56.140782,647.170885,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.0,0.009914,0.900785,0.484318,0.454545,0.5,0.0,1.0,0.5,1.0,0.5,0.0
B[,-0.836557,58.270719,534.1,0.642857,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.438556,0.93496,0.241446,0.636364,1.0,0.0,1.0,0.0,1.0,0.5,1.0
C',-0.793852,40.470911,507.5,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.469477,0.64936,0.18431,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
"C,",-0.751148,42.941821,504.55,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.500397,0.689006,0.177974,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
C.,-0.785464,42.941821,591.7,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.47555,0.689006,0.365169,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
C/,-0.760624,42.941821,573.75,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.493535,0.689006,0.326613,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
C;,-0.544293,21.470911,507.5,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.650169,0.344503,0.18431,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
CA,-0.995078,21.470911,507.5,0.571429,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.32378,0.344503,0.18431,0.545455,0.5,0.707107,0.5,1.0,1.0,0.5,0.0
CB,-1.401832,56.140782,546.491006,0.714286,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.029272,0.900785,0.268062,0.727273,0.5,0.0,1.0,0.5,1.0,1.0,1.0
CC,-0.832472,21.470911,507.5,0.428571,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.441514,0.344503,0.18431,0.363636,0.0,0.0,1.0,1.0,0.0,1.0,0.0
CD,-0.892973,42.941821,455.092027,0.428571,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.397709,0.689006,0.07174,0.363636,0.0,0.707107,0.5,1.0,0.0,1.0,0.0
CE,-1.079536,62.324307,603.870076,0.285714,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.262629,1.0,0.39131,0.181818,0.0,0.0,0.0,1.0,0.0,1.0,0.0
CF,-0.815792,21.470911,490.883408,0.785714,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.453591,0.344503,0.148618,0.818182,0.5,0.707107,0.5,1.0,1.0,1.0,1.0
CG,-1.401832,40.470911,608.665898,0.642857,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.029272,0.64936,0.401611,0.636364,0.5,0.0,0.5,0.5,1.0,1.0,1.0
CH,-0.793852,40.470911,421.693039,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.64936,0.0,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
CI,-0.546323,41.117793,520.957061,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.648699,0.659739,0.213216,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CJ,-0.406139,21.470911,543.474973,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.750198,0.344503,0.261583,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
CK,-0.478629,21.470911,471.329253,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.697712,0.344503,0.106617,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
CL,-0.512393,21.470911,448.001838,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.673266,0.344503,0.05651,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
CM,-0.643213,42.941821,495.6,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.578546,0.689006,0.15875,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CN,-0.793852,42.494707,496.822494,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.681832,0.161375,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
CO,-0.64711,41.117793,452.984022,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.575724,0.659739,0.067212,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
CP,-0.734038,41.117793,497.786098,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.512785,0.659739,0.163445,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
CQ,-1.401832,41.117793,607.420433,0.428571,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.029272,0.659739,0.398936,0.363636,0.5,0.0,0.0,1.0,1.0,0.5,0.0
CR,-1.185696,41.117793,490.021933,0.642857,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.185764,0.659739,0.146768,0.636364,0.5,0.0,0.0,1.0,1.0,1.0,1.0
CS,-0.938654,21.470911,450.869313,0.428571,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.364634,0.344503,0.06267,0.363636,0.5,0.707107,0.5,1.0,0.0,0.5,0.0
CT,-1.401832,45.071758,494.162546,0.571429,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.029272,0.723181,0.155662,0.545455,0.5,0.0,0.0,0.5,1.0,1.0,1.0
CU,-0.546323,41.117793,446.285854,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.648699,0.659739,0.052825,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CV,-0.751148,42.941821,464.737936,0.785714,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.500397,0.689006,0.092459,0.818182,0.5,0.0,1.0,1.0,1.0,1.0,1.0
CW,-1.221264,41.117793,488.834437,0.285714,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.160011,0.659739,0.144217,0.181818,0.5,0.0,0.0,1.0,0.0,0.5,0.0
CX,-1.093728,42.941821,505.882607,0.428571,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.252353,0.689006,0.180836,0.363636,0.5,0.0,1.0,1.0,0.0,0.5,0.0
CY,-0.793852,52.081366,508.590489,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.835651,0.186653,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
CZ,-1.079011,42.941821,516.810876,0.571429,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.263009,0.689006,0.20431,0.545455,0.5,0.0,1.0,1.0,1.0,0.5,0.0
C[,-0.793852,45.071758,537.0,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.469477,0.723181,0.247675,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
D',-0.521334,19.0,606.2,0.785714,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.666792,0.304857,0.396314,0.818182,1.0,0.707107,1.0,0.5,1.0,0.5,1.0
"D,",-0.478629,21.470911,620.162161,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.697712,0.344503,0.426305,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
D.,-0.512945,21.470911,681.988753,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.672866,0.344503,0.559106,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
D/,-0.488106,21.470911,684.978697,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.690851,0.344503,0.565528,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
D;,-0.271775,0.0,606.2,0.928571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.847484,0.0,0.396314,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
DA,-0.521063,0.0,606.2,0.714286,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.666988,0.0,0.396314,0.727273,0.5,1.0,1.0,1.0,1.0,0.5,0.0
DB,-1.075036,34.669872,546.590691,0.714286,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.265887,0.556282,0.268276,0.727273,0.5,0.707107,0.5,0.5,1.0,1.0,1.0
DC,-0.892948,21.470911,509.8,0.428571,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.397727,0.344503,0.189251,0.363636,0.0,0.707107,0.5,1.0,0.0,1.0,0.0
DD,-0.207749,0.0,609.153141,0.571429,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.893841,0.0,0.402658,0.545455,0.0,1.0,1.0,1.0,0.0,1.0,0.0
DE,-0.683218,19.646883,553.790645,0.428571,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.549581,0.315236,0.283741,0.363636,0.0,0.707107,0.5,1.0,0.0,1.0,0.0
DF,-0.206111,0.0,644.095586,0.928571,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.895027,0.0,0.477713,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
DG,-1.075036,19.0,653.621785,0.785714,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.265887,0.304857,0.498175,0.818182,0.5,0.707107,1.0,0.5,1.0,1.0,1.0
DH,-0.521334,19.0,663.734059,0.857143,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.666792,0.304857,0.519896,0.909091,1.0,0.707107,1.0,0.5,1.0,1.0,1.0
DI,-0.273805,19.646883,535.626641,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.846014,0.315236,0.244725,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
DJ,-0.13362,0.0,628.086809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.947514,0.0,0.443327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
