key_pair,comfort_score,distance_score,time_score,dvorak7_score,dvorak7_repetition,dvorak7_movement,dvorak7_vertical,dvorak7_horizontal,dvorak7_adjacent,dvorak7_weak,dvorak7_outward,comfort_score_normalized,distance_score_normalized,time_score_normalized,dvorak7_score_normalized,dvorak7_repetition_normalized,dvorak7_movement_normalized,dvorak7_vertical_normalized,dvorak7_horizontal_normalized,dvorak7_adjacent_normalized,dvorak7_weak_normalized,dvorak7_outward_normalized
'Z,-0.803329,40.470911,618.25,0.642857,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.462615,0.64936,0.422197,0.636364,1.0,0.0,1.0,0.5,1.0,0.0,1.0
'[,-1.442261,38.646883,581.5,0.071429,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.620093,0.34326,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
",'",-1.401832,40.470911,507.5,0.428571,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.029272,0.64936,0.18431,0.363636,0.5,0.0,0.5,0.5,1.0,0.5,0.0
",,",-0.832472,21.470911,507.5,0.428571,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.441514,0.344503,0.18431,0.363636,0.0,0.0,1.0,1.0,0.0,1.0,0.0
",.",-1.093728,42.941821,505.882607,0.428571,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.252353,0.689006,0.180836,0.363636,0.5,0.0,1.0,1.0,0.0,0.5,0.0
",/",-1.079011,42.941821,516.810876,0.571429,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.263009,0.689006,0.20431,0.545455,0.5,0.0,1.0,1.0,1.0,0.5,0.0
",;",-0.995078,21.470911,507.5,0.571429,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.32378,0.344503,0.18431,0.545455,0.5,0.707107,0.5,1.0,1.0,0.5,0.0
",A",-0.544293,21.470911,488.35,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.650169,0.344503,0.143177,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
",B",-0.793852,56.140782,551.1,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.900785,0.277962,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
",C",-0.751148,42.941821,504.55,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.500397,0.689006,0.177974,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
",D",-0.478629,21.470911,471.329253,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.697712,0.344503,0.106617,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
",E",-0.546323,41.117793,520.957061,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.648699,0.659739,0.213216,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
",F",-0.406139,21.470911,543.474973,0.928571,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.750198,0.344503,0.261583,1.0,1.0,0.707107,1.0,1.0,1.0,1.0,1.0
",G",-0.793852,40.470911,421.693039,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.64936,0.0,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
",H",-1.401832,40.470911,608.665898,0.642857,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.029272,0.64936,0.401611,0.636364,0.5,0.0,0.5,0.5,1.0,1.0,1.0
",I",-1.079536,62.324307,603.870076,0.285714,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.262629,1.0,0.39131,0.181818,0.0,0.0,0.0,1.0,0.0,1.0,0.0
",J",-0.815792,21.470911,490.883408,0.785714,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.453591,0.344503,0.148618,0.818182,0.5,0.707107,0.5,1.0,1.0,1.0,1.0
",K",-0.892973,42.941821,455.092027,0.428571,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.397709,0.689006,0.07174,0.363636,0.0,0.707107,0.5,1.0,0.0,1.0,0.0
",L",-0.938654,21.470911,450.869313,0.428571,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.364634,0.344503,0.06267,0.363636,0.5,0.707107,0.5,1.0,0.0,0.5,0.0
",M",-0.751148,42.941821,464.737936,0.785714,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.500397,0.689006,0.092459,0.818182,0.5,0.0,1.0,1.0,1.0,1.0,1.0
",N",-1.401832,42.494707,495.5,0.714286,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.029272,0.681832,0.158535,0.727273,0.5,0.0,1.0,0.5,1.0,1.0,1.0
",O",-1.221264,41.117793,488.834437,0.285714,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.160011,0.659739,0.144217,0.181818,0.5,0.0,0.0,1.0,0.0,0.5,0.0
",P",-1.401832,41.117793,537.0,0.428571,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.029272,0.659739,0.247675,0.363636,0.5,0.0,0.0,1.0,1.0,0.5,0.0
",Q",-0.734038,41.117793,497.786098,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.512785,0.659739,0.163445,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
