key_pair,comfort_score,distance_score,dvorak7_score,engram7_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram7_score_normalized,time_score_normalized
'N,-1.442261,80.047592,0.571429,0.428571,886.9,0.038493,0.592945,0.081633,0.061224,0.466029
'O,-1.306993,77.293765,0.428571,0.321429,892.6,0.128671,0.572546,0.061224,0.045918,0.474412
'P,-1.442261,69.257338,0.214286,0.142857,859.5,0.038493,0.513017,0.030612,0.020408,0.425735
'Q,-0.776742,77.293765,0.714286,0.642857,877.9,0.482172,0.572546,0.102041,0.091837,0.452794
'R,-0.589028,77.293765,0.785714,0.714286,873.1,0.607315,0.572546,0.112245,0.102041,0.445735
'S,-0.555098,38.0,0.785714,0.714286,871.0,0.629935,0.281481,0.112245,0.102041,0.442647
'T,-0.836557,85.201695,0.714286,0.642857,859.5,0.442295,0.631124,0.102041,0.091837,0.425735
'U,-1.242302,77.293765,0.642857,0.5,873.1,0.171799,0.572546,0.091837,0.071429,0.445735
'V,-0.685918,80.941821,0.785714,0.75,894.1,0.542721,0.599569,0.112245,0.107143,0.476618
'W,-0.689815,77.293765,0.714286,0.678571,892.6,0.540123,0.572546,0.102041,0.096939,0.474412
'X,-0.828168,80.941821,0.714286,0.678571,859.5,0.447888,0.599569,0.102041,0.096939,0.425735
'Y,-1.442261,99.220911,0.571429,0.428571,859.5,0.038493,0.73497,0.081633,0.061224,0.425735
'Z,-0.803329,80.941821,0.714286,0.678571,1059.5,0.464448,0.599569,0.102041,0.096939,0.719853
'[,-1.442261,62.24773,0.142857,0.071429,859.5,0.038493,0.461094,0.020408,0.010204,0.425735
",'",-1.401832,80.941821,0.5,0.5,861.9,0.065445,0.599569,0.071429,0.071429,0.429265
",,",-0.832472,42.941821,0.428571,0.428571,664.677475,0.445018,0.318088,0.061224,0.061224,0.139232
",.",-1.093728,85.883642,0.428571,0.678571,863.033916,0.270848,0.636175,0.061224,0.096939,0.430932
",/",-1.079011,85.883642,0.571429,0.535714,1069.759676,0.280659,0.636175,0.081633,0.076531,0.734941
",;",-0.995078,42.941821,0.571429,0.642857,861.9,0.336615,0.318088,0.081633,0.091837,0.429265
",A",-0.544293,42.941821,0.857143,0.857143,861.9,0.637138,0.318088,0.122449,0.122449,0.429265
",B",-0.793852,112.281564,0.785714,0.785714,948.1,0.470765,0.831715,0.112245,0.112245,0.556029
",C",-0.751148,85.883642,0.857143,0.857143,861.9,0.499235,0.636175,0.122449,0.122449,0.429265
",D",-0.478629,42.941821,0.928571,0.928571,640.803453,0.680914,0.318088,0.132653,0.132653,0.104123
",E",-0.546323,82.235587,0.857143,0.892857,720.009953,0.635785,0.609152,0.122449,0.127551,0.220603
",F",-0.406139,42.941821,0.928571,0.928571,908.998934,0.729241,0.318088,0.132653,0.132653,0.498528
",G",-0.793852,80.941821,0.857143,0.785714,775.663924,0.470765,0.599569,0.122449,0.112245,0.302447
",H",-1.401832,80.941821,0.714286,0.428571,870.615959,0.065445,0.599569,0.102041,0.061224,0.442082
",I",-1.079536,81.97119,0.285714,0.321429,845.807335,0.28031,0.607194,0.040816,0.045918,0.405599
",J",-0.815792,42.941821,0.785714,0.571429,733.549637,0.456139,0.318088,0.112245,0.081633,0.240514
",K",-0.892973,42.941821,0.428571,0.428571,882.493094,0.404685,0.318088,0.061224,0.061224,0.459549
",L",-0.938654,42.941821,0.428571,0.5,638.646059,0.374231,0.318088,0.061224,0.071429,0.10095
",M",-0.751148,85.883642,0.785714,0.892857,900.408824,0.499235,0.636175,0.112245,0.127551,0.485895
",N",-1.401832,84.989413,0.714286,0.642857,889.3,0.065445,0.629551,0.102041,0.091837,0.469559
",O",-1.221264,82.235587,0.285714,0.392857,895.0,0.185824,0.609152,0.040816,0.056122,0.477941
",P",-1.401832,82.235587,0.428571,0.5,861.9,0.065445,0.609152,0.061224,0.071429,0.429265
",Q",-0.734038,82.235587,0.785714,0.785714,880.3,0.510642,0.609152,0.112245,0.112245,0.456324
",R",-0.546323,82.235587,0.857143,0.857143,702.303185,0.635785,0.609152,0.122449,0.122449,0.194564
",S",-0.512393,42.941821,0.857143,0.857143,676.800338,0.658405,0.318088,0.122449,0.122449,0.157059
",T",-0.793852,90.143516,0.785714,0.785714,861.9,0.470765,0.66773,0.112245,0.112245,0.429265
",U",-1.185696,82.235587,0.642857,0.428571,758.480688,0.209536,0.609152,0.091837,0.061224,0.277177
",V",-0.643213,85.883642,0.857143,0.892857,663.5,0.571191,0.636175,0.122449,0.127551,0.1375
",W",-0.64711,82.235587,0.785714,0.821429,837.7043,0.568593,0.609152,0.112245,0.117347,0.393683
",X",-0.785464,85.883642,0.785714,0.821429,861.9,0.476358,0.636175,0.112245,0.117347,0.429265
",Y",-1.401832,104.162733,0.571429,0.357143,861.9,0.065445,0.771576,0.081633,0.05102,0.429265
",Z",-0.760624,85.883642,0.785714,0.821429,1061.9,0.492917,0.636175,0.112245,0.117347,0.723382
",[",-1.401832,90.143516,0.357143,0.428571,872.652291,0.065445,0.66773,0.05102,0.061224,0.445077
.',-1.442261,80.941821,0.285714,0.321429,1048.0,0.038493,0.599569,0.040816,0.045918,0.702941
".,",-0.969863,85.883642,0.571429,0.785714,883.380029,0.353424,0.636175,0.081633,0.112245,0.460853
