key_pair,comfort_score,distance_score,dvorak7_score,engram7_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram7_score_normalized,time_score_normalized
C[,-0.793852,90.143516,0.714286,0.714286,861.9,0.470765,0.66773,0.102041,0.102041,0.429265
D',-0.521334,38.0,0.857143,0.785714,863.1,0.652444,0.281481,0.122449,0.112245,0.431029
"D,",-0.478629,42.941821,0.928571,0.857143,867.181464,0.680914,0.318088,0.132653,0.122449,0.437032
D.,-0.512945,42.941821,0.857143,0.892857,863.877191,0.658037,0.318088,0.122449,0.127551,0.432172
D/,-0.488106,42.941821,0.857143,0.892857,1063.210717,0.674596,0.318088,0.122449,0.127551,0.72531
D;,-0.271775,0.0,0.928571,0.928571,863.1,0.818817,0.0,0.132653,0.132653,0.431029
DA,-0.521063,0.0,0.714286,0.642857,863.1,0.652625,0.0,0.102041,0.091837,0.431029
DB,-1.075036,69.339743,0.714286,0.5,747.094245,0.283309,0.513628,0.102041,0.071429,0.260433
DC,-0.892948,42.941821,0.428571,0.357143,703.120232,0.404702,0.318088,0.061224,0.05102,0.195765
DD,-0.207749,0.0,0.571429,0.571429,630.60496,0.861501,0.0,0.081633,0.081633,0.089125
DE,-0.683218,39.293765,0.428571,0.464286,865.047622,0.544521,0.291065,0.061224,0.066327,0.433894
DF,-0.206111,0.0,0.928571,1.0,731.464123,0.862593,0.0,0.132653,0.142857,0.237447
DG,-1.075036,38.0,0.857143,0.714286,677.584883,0.283309,0.281481,0.122449,0.102041,0.158213
DH,-0.521334,38.0,0.928571,0.857143,671.356716,0.652444,0.281481,0.132653,0.122449,0.149054
DI,-0.273805,39.293765,0.928571,0.964286,750.894135,0.817463,0.291065,0.132653,0.137755,0.266021
DJ,-0.13362,0.0,1.0,1.0,731.976111,0.91092,0.0,0.142857,0.142857,0.2382
DK,-0.206111,0.0,1.0,1.0,717.001038,0.862593,0.0,0.142857,0.142857,0.216178
DL,-0.239875,0.0,0.928571,0.928571,626.816429,0.840084,0.0,0.132653,0.132653,0.083554
DM,-0.370695,42.941821,0.928571,0.964286,687.008594,0.75287,0.318088,0.132653,0.137755,0.172071
DN,-0.521334,42.047592,0.857143,0.857143,624.06044,0.652444,0.311464,0.122449,0.122449,0.079501
DO,-0.374592,39.293765,0.857143,0.892857,686.498047,0.750272,0.291065,0.122449,0.127551,0.171321
DP,-0.461519,39.293765,0.857143,0.785714,863.1,0.692321,0.291065,0.122449,0.112245,0.431029
DQ,-0.936297,39.293765,0.571429,0.571429,874.119951,0.375802,0.291065,0.081633,0.081633,0.447235
DR,-0.645896,39.293765,0.785714,0.5,693.025507,0.569403,0.291065,0.112245,0.071429,0.18092
DS,-0.454446,0.0,0.571429,0.785714,678.779834,0.697036,0.0,0.081633,0.112245,0.15997
DT,-1.075036,47.201695,0.714286,0.5,696.255351,0.283309,0.349642,0.102041,0.071429,0.18567
DU,-0.273805,39.293765,0.928571,0.857143,681.776564,0.817463,0.291065,0.132653,0.122449,0.164377
DV,-0.596418,42.941821,0.785714,0.607143,725.257731,0.602388,0.318088,0.112245,0.086735,0.22832
DW,-0.763114,39.293765,0.428571,0.535714,681.708675,0.491257,0.291065,0.061224,0.076531,0.164277
DX,-1.075036,42.941821,0.428571,0.535714,863.1,0.283309,0.318088,0.061224,0.076531,0.431029
DY,-0.521334,61.220911,0.857143,0.857143,637.780694,0.652444,0.453488,0.122449,0.122449,0.099677
DZ,-1.012397,42.941821,0.571429,0.678571,1050.155382,0.325069,0.318088,0.081633,0.096939,0.706111
D[,-0.521334,47.201695,0.785714,0.785714,870.937224,0.652444,0.349642,0.112245,0.112245,0.442555
E',-0.589028,77.293765,0.785714,0.75,881.4,0.607315,0.572546,0.112245,0.107143,0.457941
"E,",-0.546323,82.235587,0.857143,0.857143,812.230583,0.635785,0.609152,0.122449,0.122449,0.356221
E.,-0.580639,82.235587,0.785714,0.857143,655.718141,0.612907,0.609152,0.112245,0.122449,0.126056
E/,-0.555799,82.235587,0.785714,0.857143,929.704197,0.629467,0.609152,0.112245,0.122449,0.528977
E;,-0.339469,39.293765,0.857143,0.892857,881.4,0.773688,0.291065,0.122449,0.127551,0.457941
EA,-0.818844,39.293765,0.571429,0.678571,850.8,0.454104,0.291065,0.081633,0.096939,0.412941
EB,-1.355736,108.633509,0.571429,0.392857,833.568112,0.096176,0.804693,0.081633,0.056122,0.3876
EC,-1.094752,81.97119,0.285714,0.285714,867.36447,0.270165,0.607194,0.040816,0.040816,0.437301
ED,-0.647976,39.293765,0.428571,0.464286,969.008239,0.568016,0.291065,0.061224,0.066327,0.586777
EE,-0.409174,39.293765,0.428571,0.5,796.926008,0.727217,0.291065,0.061224,0.071429,0.333715
EF,-0.490483,39.293765,0.785714,0.607143,809.749097,0.673012,0.291065,0.112245,0.086735,0.352572
EG,-1.355736,77.293765,0.714286,0.464286,765.172872,0.096176,0.572546,0.102041,0.066327,0.287019
EH,-0.589028,77.293765,0.857143,0.821429,716.648757,0.607315,0.572546,0.122449,0.117347,0.21566
EI,-0.341499,78.587531,0.857143,0.928571,742.113735,0.772334,0.58213,0.122449,0.132653,0.253108
EJ,-0.201314,39.293765,0.928571,0.964286,730.020921,0.86579,0.291065,0.132653,0.137755,0.235325
EK,-0.273805,39.293765,0.928571,0.964286,711.001444,0.817463,0.291065,0.132653,0.137755,0.207355
EL,-0.307569,39.293765,0.857143,0.892857,854.201799,0.794954,0.291065,0.122449,0.127551,0.417944
EM,-0.438389,82.235587,0.857143,0.928571,766.417898,0.707741,0.609152,0.122449,0.132653,0.28885
EN,-0.589028,81.341357,0.785714,0.821429,970.233945,0.607315,0.602529,0.112245,0.117347,0.588579
EO,-0.442286,78.587531,0.785714,0.857143,713.296652,0.705143,0.58213,0.112245,0.122449,0.21073
EP,-0.529213,78.587531,0.785714,0.785714,722.639184,0.647191,0.58213,0.112245,0.112245,0.224469
EQ,-0.843387,78.587531,0.571429,0.5,797.196479,0.437742,0.58213,0.081633,0.071429,0.334112
ER,-0.341499,78.587531,0.785714,0.857143,989.449417,0.772334,0.58213,0.112245,0.122449,0.616837
ES,-0.712008,39.293765,0.428571,0.535714,979.598049,0.525328,0.291065,0.061224,0.076531,0.60235
ET,-1.355736,86.49546,0.714286,0.678571,795.156733,0.096176,0.640707,0.102041,0.096939,0.331113
EU,-0.341499,78.587531,0.857143,0.857143,755.717762,0.772334,0.58213,0.122449,0.122449,0.273114
EV,-0.856448,82.235587,0.642857,0.5,834.624855,0.429035,0.609152,0.091837,0.071429,0.389154
EW,-0.685957,78.587531,0.428571,0.714286,837.73877,0.542695,0.58213,0.061224,0.102041,0.393733
EX,-1.355736,82.235587,0.285714,0.428571,811.823192,0.096176,0.609152,0.040816,0.061224,0.355622
EY,-0.589028,100.514677,0.785714,0.821429,686.642958,0.607315,0.744553,0.112245,0.117347,0.171534
EZ,-1.334153,82.235587,0.428571,0.571429,925.869813,0.110565,0.609152,0.061224,0.081633,0.523338
E[,-0.589028,86.49546,0.714286,0.75,695.820669,0.607315,0.640707,0.102041,0.107143,0.18503
F',-0.448844,38.0,0.857143,0.785714,895.8,0.700771,0.281481,0.122449,0.112245,0.479118
"F,",-0.406139,42.941821,0.928571,0.857143,895.8,0.729241,0.318088,0.132653,0.122449,0.479118
F.,-0.440455,42.941821,0.857143,0.892857,895.8,0.706363,0.318088,0.122449,0.127551,0.479118
F/,-0.415615,42.941821,0.857143,0.892857,1048.262839,0.722923,0.318088,0.122449,0.127551,0.703328
F;,-0.199284,0.0,0.928571,0.928571,895.8,0.867144,0.0,0.132653,0.132653,0.479118
FA,-0.451148,0.0,0.714286,0.642857,848.0,0.699235,0.0,0.102041,0.091837,0.408824
FB,-0.958273,69.339743,0.357143,0.357143,986.576726,0.361152,0.513628,0.05102,0.05102,0.612613
FC,-0.93742,42.941821,0.642857,0.5,902.712698,0.375053,0.318088,0.091837,0.071429,0.489283
FD,-0.327866,0.0,0.785714,0.857143,908.562978,0.781423,0.0,0.112245,0.122449,0.497887
FE,-0.605586,39.293765,0.642857,0.607143,775.165005,0.596276,0.291065,0.091837,0.086735,0.301713
FF,-0.06113,0.0,0.571429,0.571429,765.601112,0.959247,0.0,0.081633,0.081633,0.287649
FG,-0.958273,38.0,0.5,0.428571,902.276377,0.361152,0.281481,0.071429,0.061224,0.488642
FH,-0.448844,38.0,0.928571,0.857143,899.42922,0.700771,0.281481,0.132653,0.122449,0.484455
FI,-0.201314,39.293765,0.928571,0.964286,737.823554,0.86579,0.291065,0.132653,0.137755,0.246799
FJ,-0.06113,0.0,1.0,1.0,942.368915,0.959247,0.0,0.142857,0.142857,0.547601
FK,-0.13362,0.0,1.0,1.0,898.57379,0.91092,0.0,0.142857,0.142857,0.483197
FL,-0.167384,0.0,0.928571,0.928571,668.552658,0.888411,0.0,0.132653,0.132653,0.14493
FM,-0.298204,42.941821,0.928571,0.964286,678.896261,0.801197,0.318088,0.132653,0.137755,0.160142
FN,-0.448844,42.047592,0.857143,0.857143,929.005224,0.700771,0.311464,0.122449,0.122449,0.527949
FO,-0.302101,39.293765,0.857143,0.892857,813.227283,0.798599,0.291065,0.122449,0.127551,0.357687
FP,-0.389029,39.293765,0.857143,0.785714,899.857976,0.740647,0.291065,0.122449,0.112245,0.485085
FQ,-0.838486,39.293765,0.571429,0.571429,914.307512,0.441009,0.291065,0.081633,0.081633,0.506335
FR,-0.677292,39.293765,0.428571,0.357143,777.932896,0.548472,0.291065,0.061224,0.05102,0.305784
FS,-0.396213,0.0,0.714286,0.642857,678.955203,0.735858,0.0,0.102041,0.091837,0.160228
FT,-0.958273,47.201695,0.357143,0.357143,744.772636,0.361152,0.349642,0.05102,0.05102,0.257019
FU,-0.201314,39.293765,0.928571,0.857143,689.90537,0.86579,0.291065,0.132653,0.122449,0.176331
FV,-0.672155,42.941821,0.428571,0.464286,931.463262,0.551896,0.318088,0.061224,0.066327,0.531564
FW,-0.715329,39.293765,0.571429,0.678571,707.927809,0.523114,0.291065,0.081633,0.096939,0.202835
FX,-0.958273,42.941821,0.571429,0.678571,896.868261,0.361152,0.318088,0.081633,0.096939,0.480689
FY,-0.448844,61.220911,0.857143,0.857143,673.087983,0.700771,0.453488,0.122449,0.122449,0.1516
FZ,-0.891657,42.941821,0.571429,0.678571,1096.144821,0.405562,0.318088,0.081633,0.096939,0.773742
F[,-0.448844,47.201695,0.785714,0.785714,895.8,0.700771,0.349642,0.112245,0.112245,0.479118
G',-0.836557,76.0,0.785714,0.642857,890.1,0.442295,0.562963,0.112245,0.091837,0.470735
"G,",-0.793852,80.941821,0.857143,0.785714,890.1,0.470765,0.599569,0.122449,0.112245,0.470735
G.,-0.828168,80.941821,0.785714,0.75,890.1,0.447888,0.599569,0.112245,0.107143,0.470735
G/,-0.803329,80.941821,0.785714,0.75,1053.50128,0.464448,0.599569,0.112245,0.107143,0.711031
G;,-0.586998,38.0,0.857143,0.785714,890.1,0.608668,0.281481,0.122449,0.112245,0.470735
GA,-1.108615,38.0,0.642857,0.5,848.0,0.260923,0.281481,0.091837,0.071429,0.408824
GB,-1.442261,75.140782,0.285714,0.214286,982.657486,0.038493,0.556598,0.040816,0.030612,0.606849
GC,-1.309704,80.941821,0.571429,0.428571,894.229115,0.126864,0.599569,0.081633,0.061224,0.476808
GD,-0.953484,38.0,0.714286,0.571429,913.507134,0.364344,0.281481,0.102041,0.081633,0.505158
GE,-1.25098,77.293765,0.571429,0.464286,795.664902,0.166014,0.572546,0.081633,0.066327,0.33186
GF,-0.836557,38.0,0.5,0.428571,888.365835,0.442295,0.281481,0.071429,0.061224,0.468185
GG,-1.442261,38.0,0.428571,0.285714,642.809666,0.038493,0.281481,0.061224,0.040816,0.107073
GH,-0.836557,76.0,0.857143,0.714286,703.013537,0.442295,0.562963,0.122449,0.102041,0.195608
GI,-0.589028,77.293765,0.857143,0.821429,1071.593832,0.607315,0.572546,0.122449,0.117347,0.737638
GJ,-0.448844,38.0,0.928571,0.857143,935.937669,0.700771,0.281481,0.132653,0.122449,0.538144
GK,-0.521334,38.0,0.928571,0.857143,894.543427,0.652444,0.281481,0.132653,0.122449,0.47727
GL,-0.555098,38.0,0.857143,0.785714,674.182001,0.629935,0.281481,0.122449,0.112245,0.153209
GM,-0.685918,80.941821,0.857143,0.821429,920.611981,0.542721,0.599569,0.122449,0.117347,0.515606
GN,-0.836557,80.047592,0.785714,0.714286,698.203124,0.442295,0.592945,0.112245,0.102041,0.188534
GO,-0.689815,77.293765,0.785714,0.75,700.538598,0.540123,0.572546,0.112245,0.107143,0.191969
GP,-0.776742,77.293765,0.785714,0.714286,895.847925,0.482172,0.572546,0.112245,0.102041,0.479188
GQ,-1.442261,77.293765,0.5,0.5,908.983394,0.038493,0.572546,0.071429,0.071429,0.498505
GR,-1.242302,69.257338,0.357143,0.285714,780.550205,0.171799,0.513017,0.05102,0.040816,0.309633
GS,-1.030731,38.0,0.642857,0.5,679.416453,0.312846,0.281481,0.091837,0.071429,0.160907
GT,-1.442261,62.24773,0.285714,0.214286,717.392612,0.038493,0.461094,0.040816,0.030612,0.216754
GU,-0.589028,77.293765,0.857143,0.785714,682.896725,0.607315,0.572546,0.122449,0.112245,0.166025
GV,-1.095099,61.494707,0.357143,0.321429,767.124436,0.269934,0.455516,0.05102,0.045918,0.289889
GW,-1.306993,77.293765,0.5,0.535714,787.786358,0.128671,0.572546,0.071429,0.076531,0.320274
GX,-1.363758,80.941821,0.5,0.535714,890.879203,0.090828,0.599569,0.071429,0.076531,0.471881
GY,-0.836557,99.220911,0.785714,0.714286,654.976668,0.442295,0.73497,0.112245,0.102041,0.124966
GZ,-1.428568,80.941821,0.5,0.535714,1092.94404,0.047621,0.599569,0.071429,0.076531,0.769035
G[,-0.836557,85.201695,0.714286,0.642857,890.1,0.442295,0.631124,0.102041,0.091837,0.470735
H',-1.442261,76.0,0.571429,0.357143,890.1,0.038493,0.562963,0.081633,0.05102,0.470735
"H,",-1.309704,80.941821,0.571429,0.428571,894.229115,0.126864,0.599569,0.081633,0.061224,0.476808
H.,-1.363758,80.941821,0.5,0.535714,890.879203,0.090828,0.599569,0.071429,0.076531,0.471881
H/,-1.428568,80.941821,0.5,0.535714,1092.94404,0.047621,0.599569,0.071429,0.076531,0.769035
H;,-1.108615,38.0,0.642857,0.5,890.1,0.260923,0.281481,0.091837,0.071429,0.470735
HA,-0.586998,38.0,0.857143,0.785714,890.1,0.608668,0.281481,0.122449,0.112245,0.470735
HB,-0.836557,107.339743,0.785714,0.714286,807.356544,0.442295,0.795109,0.112245,0.102041,0.349054
HC,-0.793852,80.941821,0.857143,0.785714,890.1,0.470765,0.599569,0.122449,0.112245,0.470735
HD,-0.521334,38.0,0.928571,0.857143,894.543427,0.652444,0.281481,0.132653,0.122449,0.47727
HE,-0.589028,77.293765,0.857143,0.821429,1071.593832,0.607315,0.572546,0.122449,0.117347,0.737638
HF,-0.448844,38.0,0.928571,0.857143,935.937669,0.700771,0.281481,0.132653,0.122449,0.538144
HG,-0.836557,76.0,0.857143,0.714286,703.013537,0.442295,0.562963,0.122449,0.102041,0.195608
HH,-1.442261,38.0,0.428571,0.285714,642.809666,0.038493,0.281481,0.061224,0.040816,0.107073
HI,-1.25098,77.293765,0.571429,0.464286,795.664902,0.166014,0.572546,0.081633,0.066327,0.33186
HJ,-0.836557,38.0,0.5,0.428571,888.365835,0.442295,0.281481,0.071429,0.061224,0.468185
HK,-0.953484,38.0,0.714286,0.571429,913.507134,0.364344,0.281481,0.102041,0.081633,0.505158
HL,-1.030731,38.0,0.642857,0.5,679.416453,0.312846,0.281481,0.091837,0.071429,0.160907
HM,-1.095099,75.140782,0.357143,0.321429,767.124436,0.269934,0.556598,0.05102,0.045918,0.289889
HN,-1.442261,61.494707,0.285714,0.214286,677.099225,0.038493,0.455516,0.040816,0.030612,0.157499
HO,-1.306993,77.293765,0.5,0.535714,787.786358,0.128671,0.572546,0.071429,0.076531,0.320274
HP,-1.442261,77.293765,0.5,0.5,890.1,0.038493,0.572546,0.071429,0.071429,0.470735
HQ,-0.776742,77.293765,0.785714,0.714286,895.847925,0.482172,0.572546,0.112245,0.102041,0.479188
HR,-0.589028,77.293765,0.857143,0.785714,682.896725,0.607315,0.572546,0.122449,0.112245,0.166025
HS,-0.555098,38.0,0.857143,0.785714,674.182001,0.629935,0.281481,0.122449,0.112245,0.153209
HT,-0.836557,85.201695,0.785714,0.714286,631.498095,0.442295,0.631124,0.112245,0.102041,0.090438
HU,-1.242302,62.24773,0.357143,0.285714,780.550205,0.171799,0.461094,0.05102,0.040816,0.309633
HV,-0.685918,80.941821,0.857143,0.821429,920.611981,0.542721,0.599569,0.122449,0.117347,0.515606
HW,-0.689815,77.293765,0.785714,0.75,700.538598,0.540123,0.572546,0.112245,0.107143,0.191969
HX,-0.828168,80.941821,0.785714,0.75,890.1,0.447888,0.599569,0.112245,0.107143,0.470735
HY,-1.442261,69.257338,0.285714,0.214286,659.547404,0.038493,0.513017,0.040816,0.030612,0.131687
HZ,-0.803329,80.941821,0.785714,0.75,1053.50128,0.464448,0.599569,0.112245,0.107143,0.711031
H[,-1.442261,85.201695,0.428571,0.428571,895.847925,0.038493,0.631124,0.061224,0.061224,0.479188
I',-1.355736,77.293765,0.5,0.535714,881.4,0.096176,0.572546,0.071429,0.076531,0.457941
"I,",-1.094752,81.97119,0.285714,0.285714,867.36447,0.270165,0.607194,0.040816,0.040816,0.437301
I.,-1.355736,82.235587,0.285714,0.428571,811.823192,0.096176,0.609152,0.040816,0.061224,0.355622
I/,-1.334153,82.235587,0.428571,0.571429,925.869813,0.110565,0.609152,0.061224,0.081633,0.523338
I;,-0.818844,39.293765,0.571429,0.678571,881.4,0.454104,0.291065,0.081633,0.096939,0.457941
IA,-0.339469,39.293765,0.857143,0.892857,881.4,0.773688,0.291065,0.122449,0.127551,0.457941
IB,-0.589028,108.633509,0.785714,0.821429,765.826041,0.607315,0.804693,0.112245,0.117347,0.287979
IC,-0.546323,82.235587,0.857143,0.857143,812.230583,0.635785,0.609152,0.122449,0.122449,0.356221
ID,-0.273805,39.293765,0.928571,0.964286,711.001444,0.817463,0.291065,0.132653,0.137755,0.207355
IE,-0.341499,78.587531,0.857143,0.928571,742.113735,0.772334,0.58213,0.122449,0.132653,0.253108
IF,-0.201314,39.293765,0.928571,0.964286,730.020921,0.86579,0.291065,0.132653,0.137755,0.235325
IG,-0.589028,77.293765,0.857143,0.821429,716.648757,0.607315,0.572546,0.122449,0.117347,0.21566
IH,-1.355736,77.293765,0.714286,0.464286,765.172872,0.096176,0.572546,0.102041,0.066327,0.287019
II,-0.409174,39.293765,0.428571,0.5,796.926008,0.727217,0.291065,0.061224,0.071429,0.333715
IJ,-0.490483,39.293765,0.785714,0.607143,809.749097,0.673012,0.291065,0.112245,0.086735,0.352572
IK,-0.647976,39.293765,0.428571,0.464286,969.008239,0.568016,0.291065,0.061224,0.066327,0.586777
IL,-0.712008,39.293765,0.428571,0.535714,979.598049,0.525328,0.291065,0.061224,0.076531,0.60235
IM,-0.856448,82.235587,0.642857,0.5,834.624855,0.429035,0.609152,0.091837,0.071429,0.389154
IN,-1.355736,81.341357,0.571429,0.392857,1049.548937,0.096176,0.602529,0.081633,0.056122,0.705219
IO,-0.685957,78.587531,0.428571,0.714286,837.73877,0.542695,0.58213,0.061224,0.102041,0.393733
IP,-0.843387,78.587531,0.571429,0.5,695.820669,0.437742,0.58213,0.081633,0.071429,0.18503
IQ,-0.529213,78.587531,0.785714,0.785714,773.916127,0.647191,0.58213,0.112245,0.112245,0.299877
IR,-0.341499,78.587531,0.857143,0.857143,755.717762,0.772334,0.58213,0.122449,0.122449,0.273114
IS,-0.307569,39.293765,0.857143,0.892857,854.201799,0.794954,0.291065,0.122449,0.127551,0.417944
IT,-0.589028,86.49546,0.785714,0.821429,876.440101,0.607315,0.640707,0.112245,0.117347,0.450647
IU,-0.341499,78.587531,0.785714,0.857143,989.449417,0.772334,0.58213,0.112245,0.122449,0.616837
IV,-0.438389,82.235587,0.857143,0.928571,766.417898,0.707741,0.609152,0.122449,0.132653,0.28885
IW,-0.442286,78.587531,0.785714,0.857143,713.296652,0.705143,0.58213,0.112245,0.122449,0.21073
IX,-0.580639,82.235587,0.785714,0.857143,655.718141,0.612907,0.609152,0.112245,0.122449,0.126056
IY,-1.355736,100.514677,0.714286,0.678571,854.852263,0.096176,0.744553,0.102041,0.096939,0.4189
IZ,-0.555799,82.235587,0.785714,0.857143,929.704197,0.629467,0.609152,0.112245,0.122449,0.528977
I[,-1.355736,86.49546,0.5,0.464286,722.639184,0.096176,0.640707,0.071429,0.066327,0.224469
J',-0.958273,38.0,0.642857,0.5,895.8,0.361152,0.281481,0.091837,0.071429,0.479118
"J,",-0.93742,42.941821,0.642857,0.5,902.712698,0.375053,0.318088,0.091837,0.071429,0.489283
J.,-0.958273,42.941821,0.571429,0.678571,896.868261,0.361152,0.318088,0.081633,0.096939,0.480689
J/,-0.891657,42.941821,0.571429,0.678571,1096.144821,0.405562,0.318088,0.081633,0.096939,0.773742
J;,-0.451148,0.0,0.714286,0.642857,895.8,0.699235,0.0,0.102041,0.091837,0.479118
JA,-0.199284,0.0,0.928571,0.928571,895.8,0.867144,0.0,0.132653,0.132653,0.479118
JB,-0.448844,69.339743,0.857143,0.857143,936.308042,0.700771,0.513628,0.122449,0.122449,0.538688
JC,-0.406139,42.941821,0.928571,0.857143,895.8,0.729241,0.318088,0.132653,0.122449,0.479118
JD,-0.13362,0.0,1.0,1.0,898.57379,0.91092,0.0,0.142857,0.142857,0.483197
JE,-0.201314,39.293765,0.928571,0.964286,737.823554,0.86579,0.291065,0.132653,0.137755,0.246799
JF,-0.06113,0.0,1.0,1.0,942.368915,0.959247,0.0,0.142857,0.142857,0.547601
JG,-0.448844,38.0,0.928571,0.857143,899.42922,0.700771,0.281481,0.132653,0.122449,0.484455
JH,-0.958273,38.0,0.5,0.428571,902.276377,0.361152,0.281481,0.071429,0.061224,0.488642
JI,-0.605586,39.293765,0.642857,0.607143,775.165005,0.596276,0.291065,0.091837,0.086735,0.301713
JJ,-0.06113,0.0,0.571429,0.571429,765.601112,0.959247,0.0,0.081633,0.081633,0.287649
JK,-0.327866,0.0,0.785714,0.857143,908.562978,0.781423,0.0,0.112245,0.122449,0.497887
JL,-0.396213,0.0,0.714286,0.642857,678.955203,0.735858,0.0,0.102041,0.091837,0.160228
JM,-0.672155,42.941821,0.428571,0.464286,931.463262,0.551896,0.318088,0.061224,0.066327,0.531564
JN,-0.958273,42.047592,0.357143,0.357143,878.589469,0.361152,0.311464,0.05102,0.05102,0.453808
JO,-0.715329,39.293765,0.571429,0.678571,707.927809,0.523114,0.291065,0.081633,0.096939,0.202835
JP,-0.838486,39.293765,0.571429,0.571429,895.8,0.441009,0.291065,0.081633,0.081633,0.479118
JQ,-0.389029,39.293765,0.857143,0.785714,899.857976,0.740647,0.291065,0.122449,0.112245,0.485085
JR,-0.201314,39.293765,0.928571,0.857143,689.90537,0.86579,0.291065,0.132653,0.122449,0.176331
JS,-0.167384,0.0,0.928571,0.928571,668.552658,0.888411,0.0,0.132653,0.132653,0.14493
JT,-0.448844,47.201695,0.857143,0.857143,850.574872,0.700771,0.349642,0.122449,0.122449,0.41261
JU,-0.677292,39.293765,0.428571,0.357143,777.932896,0.548472,0.291065,0.061224,0.05102,0.305784
JV,-0.298204,42.941821,0.928571,0.964286,678.896261,0.801197,0.318088,0.132653,0.137755,0.160142
JW,-0.302101,39.293765,0.857143,0.892857,813.227283,0.798599,0.291065,0.122449,0.127551,0.357687
JX,-0.440455,42.941821,0.857143,0.892857,895.8,0.706363,0.318088,0.122449,0.127551,0.479118
JY,-0.958273,61.220911,0.357143,0.357143,849.3618,0.361152,0.453488,0.05102,0.05102,0.410826
JZ,-0.415615,42.941821,0.857143,0.892857,1048.262839,0.722923,0.318088,0.122449,0.127551,0.703328
J[,-0.958273,47.201695,0.5,0.571429,899.857976,0.361152,0.349642,0.071429,0.081633,0.485085
K',-1.075036,38.0,0.642857,0.5,863.1,0.283309,0.281481,0.091837,0.071429,0.431029
"K,",-0.892948,42.941821,0.428571,0.357143,703.120232,0.404702,0.318088,0.061224,0.05102,0.195765
K.,-1.075036,42.941821,0.428571,0.535714,863.1,0.283309,0.318088,0.061224,0.076531,0.431029
K/,-1.012397,42.941821,0.571429,0.678571,1050.155382,0.325069,0.318088,0.081633,0.096939,0.706111
K;,-0.521063,0.0,0.714286,0.642857,863.1,0.652625,0.0,0.102041,0.091837,0.431029
KA,-0.271775,0.0,0.928571,0.928571,848.0,0.818817,0.0,0.132653,0.132653,0.408824
KB,-0.521334,69.339743,0.857143,0.857143,790.096031,0.652444,0.513628,0.122449,0.122449,0.323671
KC,-0.478629,42.941821,0.928571,0.857143,867.181464,0.680914,0.318088,0.132653,0.122449,0.437032
KD,-0.206111,0.0,1.0,1.0,717.001038,0.862593,0.0,0.142857,0.142857,0.216178
KE,-0.273805,39.293765,0.928571,0.964286,750.894135,0.817463,0.291065,0.132653,0.137755,0.266021
KF,-0.13362,0.0,1.0,1.0,731.976111,0.91092,0.0,0.142857,0.142857,0.2382
KG,-0.521334,38.0,0.928571,0.857143,671.356716,0.652444,0.281481,0.132653,0.122449,0.149054
KH,-1.075036,38.0,0.857143,0.714286,677.584883,0.283309,0.281481,0.122449,0.102041,0.158213
KI,-0.683218,39.293765,0.428571,0.464286,865.047622,0.544521,0.291065,0.061224,0.066327,0.433894
KJ,-0.206111,0.0,0.928571,1.0,731.464123,0.862593,0.0,0.132653,0.142857,0.237447
KK,-0.207749,0.0,0.571429,0.571429,630.60496,0.861501,0.0,0.081633,0.081633,0.089125
KL,-0.454446,0.0,0.571429,0.785714,678.779834,0.697036,0.0,0.081633,0.112245,0.15997
KM,-0.596418,42.941821,0.785714,0.607143,725.257731,0.602388,0.318088,0.112245,0.086735,0.22832
KN,-1.075036,42.047592,0.714286,0.5,642.986435,0.283309,0.311464,0.102041,0.071429,0.107333
KO,-0.763114,39.293765,0.428571,0.535714,681.708675,0.491257,0.291065,0.061224,0.076531,0.164277
KP,-0.936297,39.293765,0.571429,0.571429,870.937224,0.375802,0.291065,0.081633,0.081633,0.442555
KQ,-0.461519,39.293765,0.857143,0.785714,881.693677,0.692321,0.291065,0.122449,0.112245,0.458373
KR,-0.273805,39.293765,0.928571,0.857143,681.776564,0.817463,0.291065,0.132653,0.122449,0.164377
KS,-0.239875,0.0,0.928571,0.928571,626.816429,0.840084,0.0,0.132653,0.132653,0.083554
KT,-0.521334,47.201695,0.857143,0.857143,872.562465,0.652444,0.349642,0.122449,0.122449,0.444945
KU,-0.645896,39.293765,0.785714,0.5,693.025507,0.569403,0.291065,0.112245,0.071429,0.18092
KV,-0.370695,42.941821,0.928571,0.964286,687.008594,0.75287,0.318088,0.132653,0.137755,0.172071
KW,-0.374592,39.293765,0.857143,0.892857,686.498047,0.750272,0.291065,0.122449,0.127551,0.171321
KX,-0.512945,42.941821,0.857143,0.892857,863.877191,0.658037,0.318088,0.122449,0.127551,0.432172
KY,-1.075036,61.220911,0.714286,0.5,669.666903,0.283309,0.453488,0.102041,0.071429,0.146569
KZ,-0.488106,42.941821,0.857143,0.892857,1063.210717,0.674596,0.318088,0.122449,0.127551,0.72531
K[,-1.075036,47.201695,0.5,0.571429,863.1,0.283309,0.349642,0.071429,0.081633,0.431029
L',-1.129147,38.0,0.428571,0.428571,849.6,0.247236,0.281481,0.061224,0.061224,0.411176
"L,",-0.80557,42.941821,0.571429,0.428571,748.308302,0.462953,0.318088,0.081633,0.061224,0.262218
L.,-1.030735,42.941821,0.285714,0.321429,850.310919,0.312843,0.318088,0.040816,0.045918,0.412222
