combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
hands + dont_cross_home + home_row + strong_fingers,4,-0.17008932996316325,0.0,0.17008932996316325,0.0,True,True
hands + fingers + skip_fingers + home_row + columns,5,-0.17001203292017952,0.0,0.17001203292017952,0.0,True,True
fingers + home_row + strum + strong_fingers,4,-0.16957384965773684,0.0,0.16957384965773684,0.0,True,True
hands + fingers + home_row + columns,4,-0.16918085663994184,0.0,0.16918085663994184,0.0,True,True
hands + fingers + dont_cross_home + strum,4,-0.16898055950474358,0.0,0.16898055950474358,0.0,True,True
skip_fingers + dont_cross_home + home_row + strum + strong_fingers,5,-0.16888138499972438,0.0,0.16888138499972438,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,7,-0.16879792250102238,0.0,0.16879792250102238,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + strum,5,-0.16842774736949892,0.0,0.16842774736949892,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,7,-0.16816514481653982,0.0,0.16816514481653982,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row + strum,5,-0.16813247041647866,0.0,0.16813247041647866,0.0,True,True
fingers + skip_fingers + same_row + home_row + strum + strong_fingers,6,-0.16780392900889943,0.0,0.16780392900889943,0.0,True,True
hands + fingers + dont_cross_home + home_row + columns + strum + strong_fingers,7,-0.16761042584776872,0.0,0.16761042584776872,0.0,True,True
hands + fingers + dont_cross_home + home_row + columns + strong_fingers,6,-0.1675364331096236,0.0,0.1675364331096236,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row,5,-0.16745926223912952,0.0,0.16745926223912952,0.0,True,True
fingers + skip_fingers + home_row,3,-0.16733060083749893,0.0,0.16733060083749893,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row + strum,6,-0.1672478334497151,0.0,0.1672478334497151,0.0,True,True
fingers + home_row + strong_fingers,3,-0.16715819506280047,0.0,0.16715819506280047,0.0,True,True
hands + skip_fingers,2,-0.16708621199754767,0.0,0.16708621199754767,0.0,True,True
hands + fingers + skip_fingers + same_row + strong_fingers,5,-0.16707749464714025,0.0,0.16707749464714025,0.0,True,True
hands + fingers + strum + strong_fingers,4,-0.16698477263828854,0.0,0.16698477263828854,0.0,True,True
hands + skip_fingers + strum,3,-0.16660255885970235,0.0,0.16660255885970235,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,7,-0.16646881917694875,0.0,0.16646881917694875,0.0,True,True
fingers + skip_fingers + strong_fingers,3,-0.16630590028347275,0.0,0.16630590028347275,0.0,True,True
hands + fingers + same_row + home_row,4,-0.16620214610404255,0.0,0.16620214610404255,0.0,True,True
hands + skip_fingers + home_row + columns + strum + strong_fingers,6,-0.16597075164763195,0.0,0.16597075164763195,0.0,True,True
hands,1,-0.1657841026830345,0.0,0.1657841026830345,0.0,True,True
skip_fingers + home_row + strum,3,-0.16520056507965786,0.0,0.16520056507965786,0.0,True,True
hands + fingers + same_row + home_row + strum,5,-0.16508892208849046,0.0,0.16508892208849046,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + strong_fingers,6,-0.16508682695922822,0.0,0.16508682695922822,0.0,True,True
skip_fingers + home_row + strong_fingers,3,-0.16497858684098163,0.0,0.16497858684098163,0.0,True,True
hands + fingers + skip_fingers + home_row + columns + strum,6,-0.16487346932694022,0.0,0.16487346932694022,0.0,True,True
hands + fingers + skip_fingers + same_row + strum + strong_fingers,6,-0.16425923188197086,0.0,0.16425923188197086,0.0,True,True
hands + fingers + skip_fingers + strum + strong_fingers,5,-0.1641846501708851,0.0,0.1641846501708851,0.0,True,True
fingers + dont_cross_home + home_row + strum + strong_fingers,5,-0.16415681239478122,0.0,0.16415681239478122,0.0,True,True
hands + strum,2,-0.1639914800398879,0.0,0.1639914800398879,0.0,True,True
hands + skip_fingers + same_row + home_row + strum + strong_fingers,6,-0.1637271419634842,0.0,0.1637271419634842,0.0,True,True
hands + fingers + home_row + columns + strum,5,-0.16372276960540344,0.0,0.16372276960540344,0.0,True,True
fingers + skip_fingers,2,-0.16368568799885497,0.0,0.16368568799885497,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + columns + strum,7,-0.16268474421404522,0.0,0.16268474421404522,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,7,-0.16257530116983343,0.0,0.16257530116983343,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + strum,7,-0.16251257358176013,0.0,0.16251257358176013,0.0,True,True
hands + skip_fingers + home_row + columns + strong_fingers,5,-0.16222749249828494,0.0,0.16222749249828494,0.0,True,True
hands + home_row + columns + strum + strong_fingers,5,-0.1616926004645981,0.0,0.1616926004645981,0.0,True,True
fingers + skip_fingers + strum,3,-0.16150939248953664,0.0,0.16150939248953664,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,6,-0.16138375570370087,0.0,0.16138375570370087,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + home_row + columns,6,-0.1611912526304747,0.0,0.1611912526304747,0.0,True,True
skip_fingers + dont_cross_home + home_row + strong_fingers,4,-0.16057118813283064,0.0,0.16057118813283064,0.0,True,True
hands + skip_fingers + home_row + columns + strum,5,-0.16033552665239448,0.0,0.16033552665239448,0.0,True,True
hands + fingers + dont_cross_home + home_row + columns + strum,6,-0.16028812980838725,0.0,0.16028812980838725,0.0,True,True
fingers + skip_fingers + strum + strong_fingers,4,-0.15999375618877532,0.0,0.15999375618877532,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + strum,6,-0.1596141596475547,0.0,0.1596141596475547,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row + columns + strong_fingers,7,-0.15934499068227906,0.0,0.15934499068227906,0.0,True,True
hands + fingers + dont_cross_home + home_row + columns,5,-0.15927974891959124,0.0,0.15927974891959124,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + strong_fingers,5,-0.15924345040204507,0.0,0.15924345040204507,0.0,True,True
hands + skip_fingers + home_row + columns,4,-0.1591514769701999,0.0,0.1591514769701999,0.0,True,True
hands + skip_fingers + dont_cross_home + strum,4,-0.15906603889061505,0.0,0.15906603889061505,0.0,True,True
hands + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,7,-0.1590190779008676,0.0,0.1590190779008676,0.0,True,True
skip_fingers + dont_cross_home + home_row + strum,4,-0.15849221351576692,0.0,0.15849221351576692,0.0,True,True
hands + fingers + dont_cross_home + strong_fingers,4,-0.15848759289955558,0.0,0.15848759289955558,0.0,True,True
hands + skip_fingers + same_row + home_row + strum,5,-0.1583890365495813,0.0,0.1583890365495813,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + strum + strong_fingers,6,-0.15837587948999854,0.0,0.15837587948999854,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row,6,-0.15816914006081156,0.0,0.15816914006081156,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row + columns + strum + strong_fingers,8,-0.15815608204541312,0.0,0.15815608204541312,0.0,True,True
hands + fingers + dont_cross_home + strum + strong_fingers,5,-0.15798543220445663,0.0,0.15798543220445663,0.0,True,True
hands + fingers + same_row + strum + strong_fingers,5,-0.15791757014835964,0.0,0.15791757014835964,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row,4,-0.15768476920042815,0.0,0.15768476920042815,0.0,True,True
fingers + skip_fingers + home_row + columns + strum + strong_fingers,6,-0.15763570944079522,0.0,0.15763570944079522,0.0,True,True
hands + fingers + skip_fingers + same_row,4,-0.15762200467822365,0.0,0.15762200467822365,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row,5,-0.15711168033628756,0.0,0.15711168033628756,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,7,-0.15707154048586733,0.0,0.15707154048586733,0.0,True,True
hands + same_row + home_row + strum + strong_fingers,5,-0.15702251795323857,0.0,0.15702251795323857,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,7,-0.15679803258047195,0.0,0.15679803258047195,0.0,True,True
fingers + skip_fingers + dont_cross_home + strum,4,-0.15677793834916026,0.0,0.15677793834916026,0.0,True,True
fingers + skip_fingers + home_row + columns + strong_fingers,5,-0.15669392910737745,0.0,0.15669392910737745,0.0,True,True
hands + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,6,-0.15662291441621656,0.0,0.15662291441621656,0.0,True,True
hands + fingers + skip_fingers + same_row + strum,5,-0.15660066894329305,0.0,0.15660066894329305,0.0,True,True
fingers + dont_cross_home + home_row + strong_fingers,4,-0.15654703017995558,0.0,0.15654703017995558,0.0,True,True
hands + fingers + same_row + strong_fingers,4,-0.1565192047744924,0.0,0.1565192047744924,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + strong_fingers,6,-0.1565162285908298,0.0,0.1565162285908298,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,6,-0.15644476229211296,0.0,0.15644476229211296,0.0,True,True
hands + skip_fingers + same_row + home_row + strong_fingers,5,-0.15643290640430157,0.0,0.15643290640430157,0.0,True,True
hands + home_row + columns + strum,4,-0.15600430548394836,0.0,0.15600430548394836,0.0,True,True
skip_fingers + same_row + home_row + strum + strong_fingers,5,-0.155840247115659,0.0,0.155840247115659,0.0,True,True
hands + dont_cross_home + strum,3,-0.15520850409300344,0.0,0.15520850409300344,0.0,True,True
skip_fingers + strum,2,-0.1548048128391261,0.0,0.1548048128391261,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,7,-0.15458384189604082,0.0,0.15458384189604082,0.0,True,True
fingers + skip_fingers + dont_cross_home,3,-0.1545414711477258,0.0,0.1545414711477258,0.0,True,True
skip_fingers + home_row,2,-0.15434771424414653,0.0,0.15434771424414653,0.0,True,True
hands + skip_fingers + dont_cross_home,3,-0.15434461531413646,0.0,0.15434461531413646,0.0,True,True
fingers + skip_fingers + dont_cross_home + strum + strong_fingers,5,-0.15419433187908205,0.0,0.15419433187908205,0.0,True,True
hands + fingers + same_row + home_row + columns + strum + strong_fingers,7,-0.15409540197254742,0.0,0.15409540197254742,0.0,True,True
hands + skip_fingers + dont_cross_home + home_row + columns + strum,6,-0.1539990789072507,0.0,0.1539990789072507,0.0,True,True
home_row + strum + strong_fingers,3,-0.15394733147469883,0.0,0.15394733147469883,0.0,True,True
hands + skip_fingers + strum + strong_fingers,4,-0.15386676752368456,0.0,0.15386676752368456,0.0,True,True
hands + dont_cross_home + home_row + columns + strum + strong_fingers,6,-0.15376909210442533,0.0,0.15376909210442533,0.0,True,True
fingers + skip_fingers + same_row + home_row,4,-0.15362269372268136,0.0,0.15362269372268136,0.0,True,True
hands + fingers + columns,3,-0.15346267745409417,0.0,0.15346267745409417,0.0,True,True
fingers + skip_fingers + dont_cross_home + strong_fingers,4,-0.15332394955760306,0.0,0.15332394955760306,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,9,-0.15330455914991023,0.0,0.15330455914991023,0.0,True,True
hands + home_row + columns + strong_fingers,4,-0.15323307652193377,0.0,0.15323307652193377,0.0,True,True
hands + fingers + same_row + home_row + columns + strong_fingers,6,-0.15316119231240685,0.0,0.15316119231240685,0.0,True,True
fingers + skip_fingers + same_row + home_row + strum,5,-0.15312085195702838,0.0,0.15312085195702838,0.0,True,True
hands + skip_fingers + strong_fingers,3,-0.15294523667231014,0.0,0.15294523667231014,0.0,True,True
hands + fingers + columns + strong_fingers,4,-0.15270975852965366,0.0,0.15270975852965366,0.0,True,True
hands + same_row + home_row + strum,4,-0.1524123111201461,0.0,0.1524123111201461,0.0,True,True
hands + skip_fingers + same_row + strum + strong_fingers,5,-0.1521614953880655,0.0,0.1521614953880655,0.0,True,True
hands + fingers + same_row + strum,4,-0.15177863507528028,0.0,0.15177863507528028,0.0,True,True
hands + dont_cross_home + same_row + home_row + strum + strong_fingers,6,-0.1517777946113371,0.0,0.1517777946113371,0.0,True,True
hands + home_row + columns,3,-0.15172453836085967,0.0,0.15172453836085967,0.0,True,True
hands + fingers + same_row,3,-0.15106951930682133,0.0,0.15106951930682133,0.0,True,True
hands + skip_fingers + same_row + home_row,4,-0.15080043235966506,0.0,0.15080043235966506,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row + strum,6,-0.15079696916410226,0.0,0.15079696916410226,0.0,True,True
skip_fingers,1,-0.1507890101295716,0.0,0.1507890101295716,0.0,True,True
hands + dont_cross_home,2,-0.1507578596382187,0.0,0.1507578596382187,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + strum,6,-0.15014454657152698,0.0,0.15014454657152698,0.0,True,True
fingers + skip_fingers + same_row + strum + strong_fingers,5,-0.1501371918539575,0.0,0.1501371918539575,0.0,True,True
skip_fingers + home_row + columns + strum + strong_fingers,5,-0.1501052404583329,0.0,0.1501052404583329,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,8,-0.15007321605746488,0.0,0.15007321605746488,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row,5,-0.14987485041019025,0.0,0.14987485041019025,0.0,True,True
hands + dont_cross_home + home_row + columns + strong_fingers,5,-0.14980916634946112,0.0,0.14980916634946112,0.0,True,True
hands + skip_fingers + dont_cross_home + home_row + columns,5,-0.14978717639178785,0.0,0.14978717639178785,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row,5,-0.14969550024944536,0.0,0.14969550024944536,0.0,True,True
skip_fingers + strum + strong_fingers,3,-0.1496397833437168,0.0,0.1496397833437168,0.0,True,True
fingers + same_row + home_row + strum + strong_fingers,5,-0.14938040419372792,0.0,0.14938040419372792,0.0,True,True
hands + fingers + skip_fingers + same_row + columns + strong_fingers,6,-0.14936195012342907,0.0,0.14936195012342907,0.0,True,True
fingers + home_row + strum,3,-0.14922366130464595,0.0,0.14922366130464595,0.0,True,True
skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,6,-0.14918411165491252,0.0,0.14918411165491252,0.0,True,True
hands + strum + strong_fingers,3,-0.1489425571548114,0.0,0.1489425571548114,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row + columns,6,-0.1488591764716456,0.0,0.1488591764716456,0.0,True,True
hands + dont_cross_home + home_row + columns + strum,5,-0.14866308540206147,0.0,0.14866308540206147,0.0,True,True
hands + fingers + dont_cross_home + same_row + strum + strong_fingers,6,-0.14845743553767857,0.0,0.14845743553767857,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strum,6,-0.14836973729375016,0.0,0.14836973729375016,0.0,True,True
hands + fingers + skip_fingers + same_row + home_row + columns + strum,7,-0.1476847531499506,0.0,0.1476847531499506,0.0,True,True
dont_cross_home + home_row + strum + strong_fingers,4,-0.1476782659767686,0.0,0.1476782659767686,0.0,True,True
hands + skip_fingers + same_row + home_row + columns + strum + strong_fingers,7,-0.1475743568987937,0.0,0.1475743568987937,0.0,True,True
hands + skip_fingers + same_row + strong_fingers,4,-0.14752086331721853,0.0,0.14752086331721853,0.0,True,True
hands + skip_fingers + same_row + strum,4,-0.14738997364532305,0.0,0.14738997364532305,0.0,True,True
hands + fingers + skip_fingers + columns + strong_fingers,5,-0.1471807442437392,0.0,0.1471807442437392,0.0,True,True
skip_fingers + dont_cross_home + strum,3,-0.14717045317745148,0.0,0.14717045317745148,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,-0.1469783168481185,0.0,0.1469783168481185,0.0,True,True
skip_fingers + strong_fingers,2,-0.1468555258771945,0.0,0.1468555258771945,0.0,True,True
hands + fingers + skip_fingers + same_row + columns + strum + strong_fingers,7,-0.1468029598726318,0.0,0.1468029598726318,0.0,True,True
fingers + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,6,-0.1467893377684827,0.0,0.1467893377684827,0.0,True,True
hands + skip_fingers + dont_cross_home + strum + strong_fingers,5,-0.14637425362170042,0.0,0.14637425362170042,0.0,True,True
hands + dont_cross_home + home_row + columns,4,-0.1460851608500427,0.0,0.1460851608500427,0.0,True,True
fingers + skip_fingers + same_row + strong_fingers,4,-0.14606134058132206,0.0,0.14606134058132206,0.0,True,True
hands + same_row + home_row + strong_fingers,4,-0.14577861457661004,0.0,0.14577861457661004,0.0,True,True
hands + dont_cross_home + same_row + home_row + strum,5,-0.14552237905636686,0.0,0.14552237905636686,0.0,True,True
skip_fingers + dont_cross_home + home_row,3,-0.14541485276114544,0.0,0.14541485276114544,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,6,-0.14525123950606267,0.0,0.14525123950606267,0.0,True,True
