combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
skip_fingers + dont_cross_home + home_row + columns,4,0.39640603964172494,1.9974052641191442e-24,0.39640603964172494,True,2.1264043540935058e-23,True
fingers + dont_cross_home + same_row + home_row,4,0.39561605520318044,2.508689951983337e-24,0.39561605520318044,True,2.616205235639766e-23,True
skip_fingers + dont_cross_home + same_row + columns + strong_fingers,5,0.39475683995052885,3.212175771808134e-24,0.39475683995052885,True,3.282843638787913e-23,True
same_row + home_row + strong_fingers,3,0.3943248262781406,3.636278290861556e-24,0.3943248262781406,True,3.6434082482946184e-23,True
dont_cross_home + columns + strum + strong_fingers,4,0.38947791030477796,1.4437082423005092e-23,0.38947791030477796,True,1.4187209842606927e-22,True
hands + same_row + home_row + columns + strong_fingers,5,0.38253347775653307,1.0005848213631144e-22,0.38253347775653307,True,9.647147994651915e-22,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,0.38065546805420164,1.6756742851249183e-22,0.38065546805420164,True,1.5856843698126542e-21,True
dont_cross_home + columns + strum,3,0.37909802424720773,2.563303519732272e-22,0.37909802424720773,True,2.345853198511768e-21,True
skip_fingers + same_row + home_row + columns,4,0.3790872984521391,2.570798025766321e-22,0.3790872984521391,True,2.345853198511768e-21,True
hands + same_row + home_row + columns,4,0.3772190797543683,4.267729654813731e-22,0.3772190797543683,True,3.825982199315468e-21,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,6,0.3763406253189304,5.410174177946489e-22,0.3763406253189304,True,4.766550008501131e-21,True
dont_cross_home + same_row + strong_fingers,3,0.375911195313271,6.073726116296553e-22,0.375911195313271,True,5.260464483775489e-21,True
fingers + dont_cross_home + same_row + home_row + strong_fingers,5,0.3719381248630425,1.7569747055382054e-21,0.3719381248630425,True,1.4963567908833718e-20,True
dont_cross_home + home_row + strong_fingers,3,0.3695105900383457,3.3380536571965186e-21,0.3695105900383457,True,2.796303965290854e-20,True
dont_cross_home + same_row + home_row + strum,4,0.3651898996046901,1.0322056831854287e-20,0.3651898996046901,True,8.507372646899259e-20,True
fingers + dont_cross_home + home_row + columns + strum + strong_fingers,6,0.365006316036348,1.082513569404151e-20,0.365006316036348,True,8.780387840722558e-20,True
fingers + dont_cross_home + home_row + columns + strum,5,0.36468598087427,1.176151991963829e-20,0.36468598087427,True,9.390838560836198e-20,True
same_row + columns,2,0.3637899935657982,1.482604380861298e-20,0.3637899935657982,True,1.1655551363386512e-19,True
hands + dont_cross_home + same_row + columns,4,0.3624712164313448,2.0819147618389383e-20,0.3624712164313448,True,1.611906732272269e-19,True
fingers + dont_cross_home + same_row + columns + strum + strong_fingers,6,0.357616513843644,7.16691128331297e-20,0.357616513843644,True,5.46610696384019e-19,True
skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,0.35724661098106875,7.867945967012666e-20,0.35724661098106875,True,5.9125299840345185e-19,True
skip_fingers + dont_cross_home + same_row + home_row + columns + strum,6,0.3568781802438394,8.633294199293438e-20,0.3568781802438394,True,6.393642515708619e-19,True
hands + dont_cross_home + same_row + columns + strong_fingers,5,0.3563466077783649,9.868484021520687e-20,0.3563466077783649,True,7.203993335710102e-19,True
fingers + dont_cross_home + same_row + columns + strum,5,0.3560546492143765,1.0619401931178429e-19,0.3560546492143765,True,7.642978009622785e-19,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,0.35408720851981196,1.7372676293135937e-19,0.35408720851981196,True,1.2329774424711756e-18,True
fingers + dont_cross_home + same_row,3,0.3523600746022056,2.66865330788428e-19,0.3523600746022056,True,1.868057315518996e-18,True
hands + fingers + dont_cross_home + same_row + home_row + columns,6,0.352129948691967,2.825173362494584e-19,0.352129948691967,True,1.9508967408577467e-18,True
hands + dont_cross_home + home_row + columns + strong_fingers,5,0.35197093106935284,2.93858033956801e-19,0.35197093106935284,True,2.0021527380256708e-18,True
hands + dont_cross_home + home_row + columns,4,0.35114972583106857,3.5995871736833963e-19,0.35114972583106857,True,2.3933817869079194e-18,True
fingers + home_row + columns,3,0.351141987311369,3.6064657062996045e-19,0.351141987311369,True,2.3933817869079194e-18,True
columns + strong_fingers,2,0.3497901967050407,5.029929640209637e-19,0.3497901967050407,True,3.2952487771116984e-18,True
fingers + dont_cross_home + home_row,3,0.34744898396592405,8.915411956831504e-19,0.34744898396592405,True,5.7668044429631634e-18,True
dont_cross_home + same_row + home_row + strum + strong_fingers,5,0.34369736023241615,2.208680544951147e-18,0.34369736023241615,True,1.4107946980875453e-17,True
columns,1,0.3413285518818134,3.891955519604334e-18,0.3413285518818134,True,2.455295395701006e-17,True
fingers + same_row + home_row + columns + strum + strong_fingers,6,0.341148360418809,4.062535070976903e-18,0.341148360418809,True,2.531652952767314e-17,True
home_row + columns + strum + strong_fingers,4,0.34046898333288905,4.77447645409502e-18,0.34046898333288905,True,2.9394668289669345e-17,True
fingers + same_row + columns + strong_fingers,4,0.33922061717416313,6.417091174752029e-18,0.33922061717416313,True,3.903730464640818e-17,True
